Customer ID,Customer Name,Last Name,Date of Birth,Segment
CUST000001,Curtis,Krause,11/29/1973,Consumer
CUST000002,Jeremy,Foster,8/30/1987,Corporate
CUST000003,Ariel,Mccann,12/15/1980,Consumer
CUST000004,Colleen,Maynard,5/23/1989,Corporate
CUST000005,Gina,Holden,12/31/1957,Consumer
CUST000006,Danny,Stevenson,2/25/1967,Consumer
CUST000007,Stephanie,Mccoy,10/19/2003,Consumer
CUST000008,Henry,Cruz,5/22/2013,Consumer
CUST000009,Kristen,Lutz,7/8/2005,Corporate
CUST000010,Gregory,Cuevas,4/10/1981,Corporate
CUST000011,Sara,Yang,4/29/1956,Corporate
CUST000012,Kenneth,Johnson,4/12/1954,Consumer
CUST000013,Charles,Krueger,7/2/2004,Corporate
CUST000014,Brenda,Campbell,3/26/1952,Corporate
CUST000015,Michael,Smith,7/24/1964,Consumer
CUST000016,Cheryl,Stewart,10/21/1950,Corporate
CUST000017,Timothy,Harris,9/20/2015,Consumer
CUST000018,Charlene,Blair,9/12/1951,Corporate
CUST000019,Dustin,Fuentes,8/12/1964,Consumer
CUST000020,Mary,Johnson,4/25/1986,Consumer
CUST000021,Christie,Pearson,10/11/1965,Corporate
CUST000022,Patricia,Hicks,6/4/1960,Corporate
CUST000023,Steven,Perkins,11/12/1962,Corporate
CUST000024,Robert,Nicholson,8/13/2005,Corporate
CUST000025,Julie,Phillips,6/15/1976,Consumer
CUST000026,Michael,David,12/11/1956,Consumer
CUST000027,Shelly,Thomas,6/9/1972,Corporate
CUST000028,Dale,Miller,9/29/1987,Consumer
CUST000029,Megan,Davis,7/6/2012,Consumer
CUST000030,Michael,Stephenson,12/22/1966,Corporate
CUST000031,Natasha,Murray,4/21/1967,Consumer
CUST000032,William,Duran,9/2/1972,Consumer
CUST000033,Gregg,Perkins,1/25/2007,Consumer
CUST000034,Lori,Phillips,1/3/1968,Consumer
CUST000035,Brooke,Lowe,6/20/1964,Consumer
CUST000036,Kevin,Moore,11/9/1960,Corporate
CUST000037,Sandy,Miller,11/26/1974,Consumer
CUST000038,Morgan,Greene,5/24/2007,Corporate
CUST000039,Kevin,Terrell,3/12/1950,Consumer
CUST000040,Jeanne,Gonzales,8/28/1998,Corporate
CUST000041,Kayla,Rivera,11/1/1961,Corporate
CUST000042,Michelle,Green,9/2/1982,Consumer
CUST000043,Timothy,Morrow,9/23/1983,Consumer
CUST000044,Richard,Simmons,4/20/2007,Corporate
CUST000045,Joseph,Jones,5/7/1963,Consumer
